Student_ID,Study_Hours,Attendance,Assignments_Score,Previous_Grade,Participation,Internet_Access,Final_Score
90,4,99,51,59,2,1,59.577591979775015
91,1,49,89,81,2,1,48.24899885153005
92,4,56,74,85,2,0,51.73409103037702
93,7,70,49,51,1,0,46.95267970187561
94,9,40,55,84,5,0,65.46122205327704
95,8,97,88,41,3,0,72.15491860471896
96,11,57,97,50,3,0,61.87738633795847
97,11,45,68,71,1,0,58.063970943593745
98,11,77,52,92,4,1,77.53789659278564
99,8,80,54,52,1,1,58.49812295387957
100,0,81,82,73,1,1,50.47206710911151
101,8,86,40,48,1,0,49.071235927987736
102,6,43,54,90,2,1,59.38943557952191
103,8,79,60,52,2,0,51.01694699856009
104,7,43,75,42,2,0,40.87723230226776
105,0,74,56,83,1,0,37.61683903862534
106,11,43,92,91,2,0,66.85093560891654
107,7,40,76,59,1,1,43.56620161302583
108,7,80,43,54,5,0,51.919709221774276
109,10,82,52,91,2,0,56.17210111557879
110,2,70,45,87,4,0,46.26373114410727
111,0,92,49,35,5,1,47.999636289545826
112,7,94,32,80,3,0,50.42340896903277
113,2,58,35,58,4,1,44.298509895796336
114,2,60,58,80,4,0,45.11188960605223
115,0,97,33,47,2,1,44.20283870940234
116,10,69,94,45,2,0,56.71505763089371
117,4,91,37,86,1,0,56.0080752979369
118,9,46,77,72,3,0,60.62519337188508
119,6,44,45,67,4,1,47.90557618571928
120,9,41,76,64,2,0,57.45432316059121
121,8,90,60,92,4,1,66.80494499560407
122,11,95,58,51,4,1,73.84420366131425
123,6,42,97,91,1,1,71.30458118038628
124,8,54,72,80,5,0,65.35475536173593
125,7,78,63,39,1,1,47.914260793102265
126,11,76,35,73,4,0,60.30503363869274
127,1,94,78,56,5,0,55.21917656788197
128,0,49,89,85,5,1,56.0774984951012
129,6,48,80,49,3,1,54.41205751682512
130,6,62,38,44,2,1,46.23374890465645
131,7,53,34,72,5,1,60.69783198806808
132,4,93,93,35,5,0,63.18531281648821
133,2,99,45,80,2,1,60.77868954895543
134,11,84,88,49,3,0,59.77193022138104
135,7,72,85,76,5,1,66.22238480380642
136,5,55,94,76,3,0,64.13486006936793
137,10,59,64,63,3,0,56.97212346605236
138,2,47,39,55,5,1,47.35267520142301
139,0,88,76,49,2,0,47.62241912383857
140,2,77,64,69,3,0,48.065877174225946
141,4,73,91,39,2,1,55.199307405394066
142,2,70,62,53,4,1,50.22658133409145
143,0,84,44,48,5,0,36.98567395979265
144,4,96,64,49,1,0,47.17311612609092
145,9,47,39,85,5,1,66.33517812654756
146,6,64,49,53,2,1,49.278587374566484
147,6,80,37,61,5,0,57.17395657894154
148,10,52,37,50,4,1,55.760658630159575
149,8,57,42,53,3,1,58.34689551279489
150,9,89,88,87,1,0,74.10731684045629
151,9,80,76,89,2,0,67.42018548001829
152,11,73,89,57,2,1,72.77259597908972
153,2,75,70,70,1,1,51.23872580216048
154,6,89,81,52,5,0,55.695836394725234
155,0,56,83,79,1,1,41.21025187405171
156,3,51,65,58,2,0,43.273821526530476
157,3,55,98,41,5,1,51.70731367836145
158,4,52,42,59,2,1,53.55293882505863
159,6,50,40,82,2,1,47.973303388667716
160,6,53,37,78,4,1,56.59560997598845
161,10,81,60,79,3,0,63.84670380952298
162,3,94,91,41,3,0,48.465887680438136
163,6,67,41,39,1,0,36.891082137222504
164,10,98,40,75,5,0,67.69092239912487
165,2,92,46,58,2,0,46.4822097399345
166,5,90,56,54,3,1,56.599535015173316
167,11,63,42,55,1,1,57.23032680666297
168,1,92,73,54,5,0,49.67083604602631
169,9,56,87,44,5,1,64.07114023376539
170,8,48,59,91,5,0,70.01275178360751
171,4,85,42,57,1,1,44.562150819195836
172,5,69,37,87,2,0,56.26724522173523
173,11,76,98,80,1,1,70.13813922965524
174,11,42,93,67,1,1,58.6337331015667
175,11,93,81,88,4,1,82.43628213220771
176,11,47,35,49,4,0,54.73633567676294
177,3,57,83,68,5,1,57.389155212692415
178,10,98,51,49,4,1,57.50259014637595
179,9,69,92,39,2,0,63.94964310877535
180,6,42,66,43,2,1,44.46496908996413
181,11,94,85,61,4,1,71.3150219016066
182,8,73,70,92,3,0,66.26355049946393
183,6,98,89,94,5,0,72.3228442005612
184,0,82,49,62,5,1,54.733145787275824
185,0,67,98,43,5,1,52.0946552914061
186,8,76,74,91,5,1,71.80830524162094
187,10,64,87,84,2,1,65.6725668674474
188,8,69,66,70,2,0,52.1224558707544
189,3,46,68,43,5,0,44.933217087702566
190,8,85,32,93,3,1,73.96506956792564
191,2,68,67,65,1,1,50.79454466732047
192,6,90,75,77,5,0,65.5629978065127
193,5,41,78,79,2,0,50.31024580672214
194,7,65,63,89,2,1,55.306490215528285
195,10,80,55,48,1,1,66.79939248285336
196,8,96,31,49,1,1,60.17625327481858
197,4,96,85,87,3,0,70.55941282262266
198,0,81,36,84,2,0,46.828940686713466
199,2,90,65,75,1,1,62.3889043109501
200,9,88,69,36,2,0,58.34049036808174
201,11,96,55,89,3,1,77.97963624867731
202,7,46,98,92,2,1,64.10687548650667
203,10,57,45,80,4,0,61.65551430652283
204,5,45,38,77,1,0,49.63377179472228
205,7,98,51,91,1,0,68.75070744131816
206,8,80,34,66,3,0,49.40906928911501
207,3,79,72,86,3,1,56.149795559682275
208,0,66,59,61,3,1,48.9598370259078
209,0,99,61,91,1,0,49.48433508093661
210,9,93,46,94,1,1,67.19122656786628
211,3,93,96,90,4,1,71.76746856527532
212,11,95,55,41,1,0,53.88524097924093
213,6,80,41,48,2,1,59.17237336470554
214,1,63,66,94,1,0,46.37790029265315
215,2,72,71,63,1,1,51.52794506338838
216,0,70,86,74,3,0,44.371265388938944
217,4,73,41,54,1,1,58.82225067429013
218,0,61,75,73,4,0,41.84744949728874
219,7,63,56,85,2,1,59.48745592048795
220,0,75,36,39,4,0,42.492027091687206
221,10,67,67,52,5,0,57.99874144754289
222,0,59,77,42,2,0,39.02060487174969
223,1,57,71,84,5,1,66.55144434249594
224,1,81,56,41,1,0,38.54617086729287
225,11,71,39,58,3,0,59.73447300569421
226,5,72,71,94,4,1,61.42361321086427
227,6,49,87,56,2,1,58.92649881321787
228,4,48,70,54,2,0,56.42930202938162
229,0,94,38,61,3,1,56.32064968776565
230,0,64,75,54,4,1,58.287280035475334
231,2,52,83,40,3,0,49.69061457851886
232,1,86,88,42,5,0,54.859844232104706
233,4,89,42,91,1,1,50.8282441017997
234,11,97,45,49,5,1,64.36897691584967
235,9,84,74,56,3,1,66.83102413161217
236,5,44,61,69,2,1,54.19418064761604
237,6,70,69,76,4,1,62.36536881294456
238,3,70,73,47,2,1,56.713181032843444
239,6,73,76,62,3,1,62.564167350873426
240,10,65,99,54,3,1,70.51143719397209
241,7,46,89,63,2,1,61.91471131250676
242,10,80,64,39,2,0,49.915107203411495
243,0,90,89,37,2,0,42.69573817905469
244,5,85,66,61,4,0,55.82035107967794
245,7,88,51,39,1,0,47.602609274664076
246,4,91,42,90,1,1,56.67010292860624
247,3,59,45,94,3,1,55.67559688416378
248,1,82,89,54,4,0,56.29946918775136
249,5,61,71,57,2,0,48.390103211634006
250,5,44,42,66,1,1,55.59769112740968
251,10,51,92,46,4,1,61.012143147560266
252,0,60,61,83,2,0,45.53892793296878
253,8,48,52,89,4,0,66.83638173143615
254,11,68,72,83,4,0,65.0413909224608
255,10,66,61,66,5,0,57.53229511904442
256,5,56,57,84,4,0,60.556029283983946
257,2,79,62,50,5,0,57.104973813963014
258,3,63,55,61,3,1,45.95933181436171
259,11,66,71,35,4,1,65.45559832685683
260,10,47,58,85,1,1,65.98534008918949
261,3,83,31,46,4,0,42.941843265346755
262,2,68,63,47,1,0,44.195469415337335
263,9,58,67,42,2,1,61.18975255445224
264,2,49,41,90,1,0,46.01033038789367
265,2,63,81,78,3,1,58.20335242337553
266,3,73,50,73,4,0,40.45462782450453
267,6,95,69,63,5,1,59.25989978767455
268,3,99,96,73,4,1,72.90029847746273
269,8,79,78,50,5,1,71.01738630684434
270,0,70,55,39,5,0,49.64952120144781
271,7,85,81,92,4,0,69.64143921916428
272,6,90,91,77,1,0,58.81811233782429
273,1,43,98,79,2,1,60.84881599981719
274,7,80,90,91,1,1,73.45655830186516
275,0,84,75,67,1,0,46.44980808031266
276,10,70,58,54,3,1,53.93183648690473
277,11,48,79,72,2,0,62.25492685880697
278,8,65,31,70,1,0,54.66068848774326
279,8,52,93,66,2,0,67.10402163484778
280,1,96,95,82,5,0,65.86315477029103
281,6,87,72,84,4,1,75.15089933469955
282,9,65,39,36,4,1,53.7160619464523
283,2,93,82,46,4,1,64.61259321868734
284,6,40,57,84,2,1,58.33956196442997
285,11,79,31,73,1,0,46.215339515665235
286,9,48,58,87,2,0,55.835512262926244
287,8,70,81,46,4,0,52.39672318504029
288,3,63,43,68,1,0,44.10868834516774
289,11,84,57,75,3,0,65.81661358196067
290,0,88,30,68,4,1,51.92099908889969
291,1,99,88,46,1,0,53.62061060196798
292,0,61,73,89,1,1,53.79191484849736
293,11,96,72,51,5,1,77.84359914229886
294,4,48,46,40,3,0,45.48796658251928
295,4,78,83,64,3,1,61.46988799202791
296,10,62,44,56,5,1,65.17270853491033
297,6,59,77,71,1,0,46.658695054699415
298,8,94,75,57,3,0,61.53134854892281
299,8,81,78,50,3,1,73.27573997787711
300,2,60,65,77,2,0,42.398974841609004
301,2,66,43,60,1,0,42.71409346549023
302,2,97,32,82,5,0,61.385183929302116
303,3,44,35,81,4,0,45.509104500304254
304,7,56,51,74,5,0,58.420851399334346
305,5,73,51,65,2,0,42.89370732494022
306,7,48,65,80,2,0,58.157168471825855
307,0,73,79,36,4,1,47.64611487344649
308,7,49,98,37,1,1,56.85002749013802
309,3,98,64,58,3,0,56.774481838398536
310,10,83,38,61,5,0,53.53517158679196
311,0,41,58,94,5,1,53.38097517040112
312,7,86,56,71,4,0,57.33559702059732
313,3,64,86,88,1,0,54.53536695178955
314,5,42,88,70,1,1,60.48906064235354
315,7,73,71,51,3,1,63.1602996845075
316,3,46,82,78,5,0,56.65055853832923
317,2,67,67,74,5,0,57.75800375209981
318,8,48,33,77,4,0,47.3075831766551
319,2,50,81,64,5,0,55.9102267141956
320,8,68,73,38,1,1,54.32440297962201
321,1,93,52,75,1,1,40.67645322082373
322,1,99,99,93,3,1,78.07461868376407
323,1,55,98,52,4,0,49.7720792480414
324,5,78,89,74,5,0,62.42612733730368
325,2,68,33,61,3,0,52.12834614555614
326,8,52,32,65,1,1,50.5670658022089
327,3,74,52,91,1,1,48.763062112442604
328,0,50,66,72,3,0,39.81563756171715
329,3,74,47,74,2,0,48.080314260556655
330,0,86,34,46,2,1,49.20726736251629
331,4,47,70,65,4,1,54.525806285369974
332,3,46,67,62,1,0,43.579592529120774
333,7,44,76,82,3,1,66.86164315296773
334,7,45,41,70,2,1,48.19309567204921
335,6,96,59,60,4,0,59.660340859667166
336,2,90,35,83,1,1,53.02527806914118
337,0,99,90,47,3,0,49.86697145273189
338,0,74,93,52,4,0,48.29649635816269
339,11,69,98,77,5,0,79.51004060308311
340,10,50,40,51,5,1,63.991822690239616
341,2,77,91,75,4,1,64.21164947763525
342,5,66,46,66,2,0,46.55005799017968
343,6,95,49,71,4,0,59.104131879108294
344,5,60,55,56,2,1,49.21657878523788
345,5,53,88,90,2,1,59.23312438339386
346,5,88,54,80,3,0,47.629268062826206
347,2,74,47,91,1,1,43.76229394614617
348,5,68,58,69,3,1,62.33427368562779
349,7,63,96,50,1,1,67.20920875698606
350,10,75,64,84,1,0,56.81667654498499
351,10,80,44,37,3,0,53.30364335304389
352,1,84,80,80,1,0,52.34432121439389
353,4,71,32,56,2,1,45.42716248860653
354,0,45,50,93,5,0,46.38659207195488
355,11,49,90,65,2,0,64.26291275424431
356,0,59,32,50,4,1,49.21710961336012
357,4,59,82,83,1,1,59.8190632628273
358,11,65,64,36,3,1,63.49443813990385
359,2,60,79,74,5,1,60.66575042389638
360,3,84,37,90,3,1,62.44661539804633
361,2,62,77,56,1,0,48.17520173352069
362,0,85,32,90,5,0,49.153586808314095
363,0,51,83,48,1,0,40.93946588507987
364,11,94,31,48,1,0,50.23903119982337
365,11,52,62,81,1,1,61.832402498549726
366,4,49,41,90,4,0,43.96220600054916
367,5,46,48,39,5,1,61.458971047879075
368,2,76,47,61,4,0,61.40076851759771
369,11,51,79,81,2,1,71.34653438190131
370,8,64,51,50,4,0,55.706064852085824
371,4,41,59,38,2,0,37.648606037798906
372,7,79,35,57,5,1,54.82153384142634
373,0,65,30,80,3,0,37.727083054253534
374,4,79,38,44,5,1,55.66819925215615
375,2,90,81,65,2,1,64.06769644121857
376,11,44,58,51,5,1,59.83993893669837
377,0,47,91,77,5,1,62.67171718004436
378,3,81,58,73,4,0,50.93131182748424
379,4,84,34,61,1,0,45.1250821221365
380,6,48,51,74,1,1,54.14841824621668
381,0,78,78,85,1,0,60.647484882919485
382,2,59,37,93,4,0,52.89022420829872
383,1,91,97,93,4,1,67.35430315023575
384,8,90,69,49,2,1,62.310482304359965
385,9,50,53,58,2,0,44.32170566241827
386,5,79,42,88,1,0,56.20149682076708
387,9,61,79,69,1,1,61.95071813348282
388,2,55,74,47,4,1,49.169284272465504
389,7,81,33,48,5,0,49.92122264091451
390,7,77,92,40,4,1,60.93836769398774
391,1,81,94,40,3,1,52.146075073757956
392,5,49,56,86,1,1,60.72572463710311
393,6,64,92,66,4,0,61.27008123587178
394,1,98,40,55,2,1,58.411284415633205
395,10,58,71,55,4,0,57.06687688879754
396,9,43,67,64,3,1,65.58115215003909
397,1,58,99,88,3,0,52.2279250248196
398,9,42,91,56,1,0,59.77381170269075
399,0,56,33,53,1,0,35.3980792125118
400,7,53,63,93,3,1,63.15366729648482
401,0,49,55,93,2,0,36.17234896234333
402,8,45,83,81,5,0,67.29655866881718
403,10,70,56,36,2,1,57.19076487286843
404,5,70,68,67,1,0,46.34257414982177
405,6,87,50,35,1,1,56.60441705532051
406,9,48,83,58,4,0,60.9750609586821
407,6,92,85,86,5,1,77.50854893489804
408,9,51,92,79,5,1,72.95245403395882
409,2,83,71,55,2,1,49.66741199911862
410,1,99,55,94,2,1,60.83570932002926
411,8,85,98,74,4,0,70.85030954388692
412,7,65,49,94,1,0,59.8149767179073
413,11,41,82,82,2,0,57.424088030714955
414,9,81,98,44,4,1,74.49220051846522
415,6,43,97,46,3,1,52.79943545957807
416,8,71,34,57,3,0,49.82755493493494
417,3,67,45,86,4,0,53.37686098461953
418,3,45,38,46,3,0,36.00972066761414
419,0,69,54,50,3,0,45.08983083006951
420,7,94,86,89,3,1,74.25648514757171
421,11,67,67,37,1,1,60.74098810853852
422,2,52,37,88,4,0,45.97183587146473
423,6,94,94,36,5,0,60.465721594234296
424,11,85,60,40,1,1,66.77165487604019
425,1,75,62,56,2,1,56.14543275742266
426,1,49,84,81,3,1,56.27576808793342
427,6,49,98,37,3,0,47.44185952110893
428,5,44,65,92,1,1,53.81194684823284
429,2,68,53,43,3,0,41.31716182210732
430,8,75,90,55,2,1,68.18570324838677
431,9,51,57,71,2,1,66.14169456209376
432,5,97,89,67,3,0,72.95603776234454
433,9,61,68,86,5,0,64.54176452477829
434,9,98,60,35,4,1,68.09487781722504
435,5,85,30,92,3,0,59.756457112217326
436,0,78,42,35,1,1,38.976583908448696
437,3,41,95,79,4,1,62.16038403131372
438,9,53,71,41,4,0,61.140455466894856
439,5,49,66,71,2,0,45.66649589648294
440,5,99,86,74,3,0,67.53391653729017
441,10,87,64,86,1,1,73.73707961055962
442,11,42,66,75,1,0,49.03046416319018
443,4,98,49,46,4,1,49.581828468179424
444,0,47,95,66,4,0,51.646890582527526
445,7,94,52,61,1,1,67.61289109921125
446,4,99,84,76,3,0,65.79224600747693
447,11,56,86,80,3,1,70.64380727948256
448,11,43,79,86,3,1,68.20593954769443
449,11,60,67,63,4,0,62.237120995897115
450,4,69,76,80,5,0,68.52824766205954
451,6,58,59,36,5,0,51.879779054042125
452,3,54,97,80,3,1,69.38669634674206
453,5,59,72,53,4,1,64.5752753739294
454,3,97,56,59,4,0,60.2430684881092
455,2,81,93,69,4,1,56.177373182605
456,6,69,35,35,4,0,49.07303366691949
457,7,49,60,91,5,0,60.12359204418565
458,3,62,58,62,5,0,46.912153368958215
459,1,63,32,52,3,1,40.05452391978277
460,11,51,49,80,4,1,64.2360992386166
461,9,48,87,52,5,1,70.59364530027386
462,2,54,86,58,2,1,46.405482860338104
463,0,68,33,85,1,0,32.73559720555055
464,7,57,71,63,2,0,49.26485194080131
465,2,59,63,53,2,0,45.588649203726945
466,11,40,47,85,2,1,54.23079643708486
467,9,42,94,65,2,0,47.880387097166484
468,6,47,54,65,2,0,43.9460634397693
469,9,78,74,78,5,1,71.8276197361378
470,4,70,43,82,3,1,57.79907766905623
471,9,86,40,56,1,0,55.29122021388137
472,4,47,81,63,5,0,55.58241319170033
473,6,54,37,54,3,0,49.2032163771981
474,8,98,89,36,2,1,67.8141121534496
475,11,61,71,38,2,1,60.15709839597433
476,4,71,45,80,5,0,48.588380780845625
477,0,44,68,53,5,0,39.7874255964841
478,9,83,71,41,3,0,51.38814185191184
479,9,83,47,76,2,1,57.916189765776515
480,0,97,36,50,1,0,40.3962021541322
481,1,48,33,86,5,0,40.96122345923646
482,5,92,59,67,3,0,62.803875321190574
483,8,80,79,73,1,0,71.43838401357092
484,7,54,74,77,1,1,52.14957411020196
485,4,86,60,77,1,0,60.00014246515416
486,0,91,75,54,5,0,55.3174795178065
487,6,83,83,80,3,0,64.77993519130104
488,4,76,75,91,2,1,56.86596399100306
489,5,72,34,38,2,0,30.73406290295755
490,6,61,39,49,3,1,48.73792887580056
491,2,90,52,77,5,1,67.66123098566509
492,11,50,36,64,5,0,55.47954154824782
493,9,97,87,73,1,1,66.25863709896808
494,2,89,76,77,3,1,62.221344600665894
495,4,45,50,77,5,1,60.72744982128735
496,5,56,60,48,1,0,44.03973195093329
497,8,85,56,40,4,1,60.7570677597189
498,11,83,58,56,2,0,62.95755122271636
499,4,96,39,78,2,0,52.19416728252063
500,0,44,38,52,4,1,47.409934824209124
501,3,78,40,80,4,0,53.10318960488441
502,4,98,51,49,2,1,51.044984575413025
503,11,97,79,55,5,1,82.53194695284094
504,9,87,69,70,2,0,50.5145754695002
505,9,96,95,46,5,1,77.69225299315548
506,4,48,92,61,2,0,47.69270993231021
507,6,68,48,45,1,0,39.2610143025616
508,3,62,45,65,5,0,45.12001421243119
509,0,86,33,35,1,0,28.743311128675945
510,4,75,78,59,1,0,47.67658177012637
511,6,70,67,85,1,1,56.20292252653163
512,9,59,36,59,1,1,50.054812491887674
513,9,62,84,51,2,0,57.03086072502894
514,5,95,43,41,4,1,50.53624356576401
515,4,46,63,66,3,1,46.942614676186395
516,3,98,50,82,1,1,56.00788418288152
517,1,85,65,77,2,1,58.43272253505777
518,3,97,92,59,3,1,58.39886498703754
519,9,75,71,52,2,0,51.46593384951952
520,9,43,78,69,1,1,59.93684997740602
521,2,63,39,60,2,0,37.98078027678169
522,9,99,50,46,3,1,59.27000031407393
523,0,53,92,84,4,1,54.67567212039656
524,7,64,79,73,1,0,51.703719166860644
525,4,46,56,48,1,0,32.769822523459936
526,3,54,37,42,1,0,38.63216132996925
527,7,83,59,56,2,0,50.518102990296455
528,6,85,59,46,5,0,54.08997976962029
529,1,52,47,66,1,0,40.816770715900596
530,0,58,52,80,1,0,35.858875813236885
531,11,51,67,47,2,1,66.16250489964384
532,10,87,59,67,2,1,65.6209058971011
533,3,65,59,87,1,1,60.05005125838727
534,7,87,68,35,5,0,58.00344265552103
535,11,72,46,62,2,0,61.6897777282575
536,1,54,98,37,2,0,50.833737671000144
537,2,76,81,83,1,1,59.89144994741199
538,11,45,42,50,5,0,51.499959514019885
539,0,98,36,84,3,1,51.01655890907137
540,0,64,97,66,3,1,58.68554363459623
541,2,92,89,78,1,0,57.26473977687454
542,10,56,75,44,5,0,56.27515144315129
543,4,82,64,35,5,0,57.8138079066249
544,11,98,58,41,2,1,64.06377063859343
545,2,75,63,81,1,0,41.20835962274573
546,0,89,37,41,3,1,43.925120005973376
547,0,91,95,80,2,1,60.97806350399689
548,7,85,33,86,1,1,60.975415818185866
549,9,94,95,84,2,1,63.18178400549403
550,10,48,86,38,1,0,42.95683055966769
551,11,67,33,38,2,0,55.71252864697766
552,11,74,95,91,2,1,77.32619324736199
553,1,42,49,59,5,1,45.519135280766335
554,2,50,84,39,4,0,48.16454714271639
555,1,59,35,41,1,0,25.29806516211243
556,2,62,58,89,5,0,53.378511441766804
557,6,93,34,37,1,1,48.68854339631508
558,0,69,66,91,5,0,49.441591115164925
559,9,76,38,81,3,1,60.692345333291215
560,7,75,66,69,5,1,58.50381659347499
561,9,83,68,45,3,1,69.8569012951841
562,9,95,92,46,3,1,66.23497639682535
563,9,51,86,89,2,0,58.917685695403634
564,1,75,69,73,4,1,63.74667232782942
565,2,74,93,50,1,0,49.12969937851638
566,8,94,32,75,3,0,57.5654788538363
567,6,73,72,77,1,0,53.47344669641076
568,3,43,54,41,2,1,41.81232040387423
569,9,63,84,55,4,0,55.368980697630484
570,4,75,65,44,2,1,60.66900619119113
571,1,97,87,93,4,0,58.85784102199813
572,10,67,48,52,3,1,58.260713621532574
573,7,78,88,63,5,0,58.96027408422801
574,3,41,45,60,4,0,50.08351009709468
575,8,82,31,64,2,0,45.10936798164135
576,4,44,94,79,1,1,51.933186628789464
577,8,67,88,35,3,0,59.866198687742354
578,3,52,77,72,4,0,50.966799518263
579,9,75,32,81,3,0,48.05308356521792
580,4,48,55,49,3,0,42.78729223945918
581,8,78,43,59,4,0,59.26361193422046
582,7,69,53,53,1,0,46.8790772058231
583,2,96,64,62,3,1,54.15613957930155
584,0,66,35,83,3,0,41.17082097193303
585,2,52,91,67,2,0,52.49202428592865
586,3,81,65,91,3,0,67.10762854297799
587,1,78,58,49,3,0,42.79835130973488
588,0,89,42,91,3,0,49.81289171834469
589,6,67,37,48,3,0,50.146009722001686
590,7,57,44,72,1,0,50.155757050786825
591,6,73,62,69,5,1,69.51785366376669
592,4,60,45,66,5,1,52.18798592325378
593,11,40,81,48,5,0,57.499131174693595
594,0,84,63,47,3,1,45.60316284664744
595,6,62,63,75,5,1,58.67820372364015
596,6,73,72,55,1,0,49.727715428861
597,8,75,90,46,2,0,58.359750739984875
598,2,48,51,49,4,1,36.81282467808346
599,8,47,80,58,3,0,55.184157752993066
600,0,97,33,54,3,1,43.258177739055846
601,0,89,78,35,3,1,52.81267748710585
602,3,69,68,77,2,0,53.8976179659863
603,8,87,30,48,2,0,47.17544181614119
604,5,75,70,36,5,1,61.414880888686014
605,10,75,79,42,4,1,62.60415010252674
606,2,57,46,45,1,0,34.891738354759816
607,0,41,37,54,4,1,33.8762405929999
608,3,92,96,78,1,1,68.22903147698746
609,11,50,95,93,4,0,69.783566109751
610,8,91,31,51,4,0,52.054739713545
611,2,95,46,87,4,0,52.169318738357205
612,11,75,62,46,2,1,71.26127259698032
613,8,70,83,54,2,1,56.96718095695149
614,6,70,99,44,4,0,58.11705899969155
615,11,63,35,55,3,0,51.80967663684088
616,3,85,81,37,4,1,53.16118746993622
617,2,60,74,38,5,1,45.25067256469991
618,9,71,30,58,5,1,57.29773727701202
619,4,88,80,88,3,1,70.94993349673804
620,4,69,40,71,4,1,59.35739692393564
621,2,96,51,61,3,0,52.03377253610462
622,11,47,63,82,2,1,55.427263888180164
623,8,72,30,65,3,1,55.15884672958961
624,3,99,78,44,3,0,64.53228109284015
625,10,90,78,38,5,0,65.3894578646715
626,4,90,71,46,5,1,57.063852466466464
627,3,92,78,49,1,0,46.63043672230103
628,4,78,42,60,1,0,41.30998554749755
629,6,40,97,68,2,1,62.53887059783329
630,8,72,43,35,3,1,50.0052164869098
631,6,81,65,93,5,0,72.95032526957739
